,Course,Education Level,Institutions,Year,GE (%)
2464,IJAZAH SARJANA MUDA ILMU WAHYU DAN WARISAN ISLAM (USULUDDIN DAN PERBANDINGAN AGAMA) (KEPUJIAN),Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,85.3
2465,SARJANA KAUNSELING PROFESIONAL,Sarjana,UNIVERSITI MALAYA,2022,85.3
2466,SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEPUJIAN) PENGURUSAN PELABURAN,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,85.3
2467,SARJANA MUDA SAINS (KEPUJIAN) PENGURUSAN HOTEL,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,85.3
2468,IJAZAH SARJANA MUDA KEJURUTERAAN ELEKTRONIK DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI MALAYSIA PERLIS,2022,85.2
2469,IJAZAH SARJANA MUDA PENGAJIAN WARISAN DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI MALAYSIA KELANTAN,2022,85.2
2470,IJAZAH SARJANA MUDA SASTERA (KEPUJIAN) BAHASA INGGERIS UNTUK KOMUNIKASI ANTARABANGSA,Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,85.2
2471,SARJANA MUDA PENGAJIAN MEDIA,Ijazah pertama,UNIVERSITI MALAYA,2022,85.2
2472,SARJANA MUDA PENGURUSAN (MARITIM) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI MALAYSIA TERENGGANU,2022,85.2
2473,SARJANA MUDA SAINS SUKAN (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,85.2
2474,DIPLOMA PENGURUSAN PERNIAGAAN,Diploma,UNIVERSITI MALAYA,2022,85.1
2475,SARJANA MUDA KOMUNIKASI MASSA (KEPUJIAN) PENYIARAN,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,85
2476,SARJANA MUDA PENDIDIKAN ISLAM (PENGAJIAN ISLAM),Ijazah pertama,UNIVERSITI MALAYA,2022,85
2477,SARJANA MUDA SAINS GUNAAN (KEPUJIAN) (FIZIK GUNAAN),Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2022,85
2478,IJAZAH SARJANA MUDA PENDIDIKAN (PENGAJARAN BAHASA INGGERIS SEBAGAI BAHASA KEDUA) (KEPUJIAN),Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,84.9
2479,DIPLOMA ANIMASI,Diploma,UNIVERSITI TEKNOLOGI MARA,2022,84.8
2480,IJAZAH SARJANA MUDA SAINS SOSIAL DENGAN KEPUJIAN (KAJIAN HUBUNGAN INDUSTRI DAN PERBURUHAN),Ijazah pertama,UNIVERSITI MALAYSIA SARAWAK,2022,84.8
2481,SARJANA MUDA PENTADBIRAN ALAM SEKITAR (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,84.8
2482,SARJANA MUDA SAINS KIMIA,Ijazah pertama,UNIVERSITI MALAYA,2022,84.8
2483,IJAZAH SARJANA MUDA PERANCANGAN PELANCONGAN DAN PENGURUSAN HOSPITALITI (KEPUJIAN),Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,84.6
2484,IJAZAH SARJANA MUDA SASTERA (KEPUJIAN) BAHASA ARAB UNTUK KOMUNIKASI ANTARABANGSA,Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,84.6
2485,SARJANA MUDA PENDIDIKAN (KEPUJIAN) PENDIDIKAN JASMANI DAN KESIHATAN,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,84.6
2486,SARJANA MUDA PENTADBIRAN KESIHATAN (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,84.6
2487,SARJANA MUDA PERANCANGAN BANDAR DAN WILAYAH (KEPUJIAN),Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2022,84.6
2488,SARJANA MUDA SAINS (KEPUJIAN) SAINS BAHAN DAN TEKNOLOGI,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,84.6
2489,SARJANA MUDA SAINS MIKROBIOLOGI,Ijazah pertama,UNIVERSITI MALAYA,2022,84.6
2490,SARJANA PENDIDIKAN (BIMBINGAN DAN KAUNSELING),Sarjana,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,84.6
2491,SARJANA SAINS (FIZIK/BIOLOGI/KIMIA & GEOLOGI),Sarjana,UNIVERSITI MALAYA,2022,84.6
2492,IJAZAH SARJANA MUDA KEJURUTERAAN (BIOKIMIA-BIOTEKNOLOGI) (KEPUJIAN),Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,84.4
2493,IJAZAH SARJANA MUDA KEJURUTERAAN (PEMBUATAN) (KEPUJIAN),Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,84.4
2494,SARJANA SAINS MATEMATIK GUNAAN,Sarjana,UNIVERSITI TEKNOLOGI MARA,2022,84.4
2495,SARJANA MUDA PENGAJIAN BAHASA GUNAAN (KEPUJIAN) BAHASA INGGERIS KOMUNIKASI ANTARA BUDAYA,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,84.3
2496,"SARJANA MUDA SAINS (PERUMAHAN, BANGUNAN DAN PERANCANGAN)(KEPUJIAN) (SENI BINA)",Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2022,84.3
2497,IJAZAH SARJANA MUDA SAINS BIOPERUBATAN (KEPUJIAN),Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,84.2
2498,IJAZAH SARJANA MUDA SAINS SOSIAL DENGAN KEPUJIAN (PSIKOLOGI),Ijazah pertama,UNIVERSITI KEBANGSAAN MALAYSIA,2022,84.2
2499,SARJANA MUDA BAHASA DAN LINGUISTIK ARAB,Ijazah pertama,UNIVERSITI MALAYA,2022,84.2
2500,SARJANA MUDA KESIHATAN DAN KECERGASAN (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,84.2
2501,SARJANA MUDA SAINS BIOTEKNOLOGI,Ijazah pertama,UNIVERSITI MALAYA,2022,84.2
2502,SARJANA SAINS KESIHATAN (PEMAKANAN KESIHATAN AWAM),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2022,84.2
2503,SARJANA SASTERA PENGAJIAN PERANGSARAF MEDIA DAN INFORMASI,Sarjana,UNIVERSITI TEKNOLOGI MARA,2022,84.2
2504,SARJANA KOMUNIKASI VISUAL DAN MEDIA BARU,Sarjana,UNIVERSITI TEKNOLOGI MARA,2022,84.1
2505,IJAZAH SARJANA MUDA SAINS DENGAN KEPUJIAN (KIMIA SUMBER),Ijazah pertama,UNIVERSITI MALAYSIA SARAWAK,2022,84
2506,IJAZAH SARJANA MUDA SAINS KEMANUSIAAN (KOMUNIKASI) (KEPUJIAN),Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2022,84
2507,SARJANA MUDA SAINS (KEPUJIAN) KIMIA GUNAAN,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,84
2508,SARJANA MUDA SAINS (KEPUJIAN) SAINS BIOMOLEKUL,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,84
2509,SARJANA MUDA SAINS SUKAN (SAINS EKSESAIS),Ijazah pertama,UNIVERSITI MALAYA,2022,84
2510,DIPLOMA PENGURUSAN PELANCONGAN,Diploma,UNIVERSITI TEKNOLOGI MARA,2022,83.8
2511,DIPLOMA SENI LUKIS DAN SENI REKA (SERAMIK),Diploma,UNIVERSITI TEKNOLOGI MARA,2022,83.8
2512,SARJANA MUDA KEJURUTERAAN PEMBUATAN DENGAN PENGURUSAN DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2022,83.8
